System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE++ NLONG14,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
NLONG14,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG15,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
NLONG15,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG16,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
NLONG16,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG17,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
NLONG17,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG18,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
NLONG18,2026-01-16,4748.41,0.00,100.13,100.00,4748.41,0.13,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG19,2026-01-16,1229.73,0.00,100.03,100.00,1229.73,0.03,3756948.19,0.00,0.00,0.00,0.00
NLONG19,2026-01-16,1229.73,0.00,100.03,100.00,1229.73,0.03,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG2,2026-01-16,-23996.99,0.00,99.36,100.00,-23996.99,-0.64,3756948.19,0.00,0.00,0.00,-0.64
NLONG2,2026-01-16,-23996.99,0.00,99.36,100.00,-23996.99,-0.64,3756948.19,0.00,0.00,0.00,-0.64
QYE++ NLONG20,2026-01-16,1229.73,0.00,100.03,100.00,1229.73,0.03,3756948.19,0.00,0.00,0.00,0.00
NLONG20,2026-01-16,1229.73,0.00,100.03,100.00,1229.73,0.03,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG21,2026-01-16,-254.71,0.00,99.99,100.00,-254.71,-0.01,3756948.19,0.00,0.00,0.00,-0.01
NLONG21,2026-01-16,-254.71,0.00,99.99,100.00,-254.71,-0.01,3756948.19,0.00,0.00,0.00,-0.01
QYE++ NLONG22,2026-01-16,-254.71,0.00,99.99,100.00,-254.71,-0.01,3756948.19,0.00,0.00,0.00,-0.01
NLONG22,2026-01-16,-254.71,0.00,99.99,100.00,-254.71,-0.01,3756948.19,0.00,0.00,0.00,-0.01
QYE++ NLONG23,2026-01-16,817.39,0.00,100.02,100.00,817.39,0.02,3756948.19,0.00,0.00,0.00,0.00
NLONG23,2026-01-16,817.39,0.00,100.02,100.00,817.39,0.02,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG24,2026-01-16,817.39,0.00,100.02,100.00,817.39,0.02,3756948.19,0.00,0.00,0.00,0.00
NLONG24,2026-01-16,817.39,0.00,100.02,100.00,817.39,0.02,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG3,2026-01-16,-31427.14,0.00,99.16,100.00,-31427.14,-0.84,3756948.19,0.00,0.00,0.00,-0.84
NLONG3,2026-01-16,-31427.14,0.00,99.16,100.00,-31427.14,-0.84,3756948.19,0.00,0.00,0.00,-0.84
QYE++ NLONG4,2026-01-16,-23996.99,0.00,99.36,100.00,-23996.99,-0.64,3756948.19,0.00,0.00,0.00,-0.64
NLONG4,2026-01-16,-23996.99,0.00,99.36,100.00,-23996.99,-0.64,3756948.19,0.00,0.00,0.00,-0.64
QYE++ NLONG5,2026-01-16,-31097.65,0.00,99.17,100.00,-31097.65,-0.83,3756948.19,0.00,0.00,0.00,-0.83
NLONG5,2026-01-16,-31097.65,0.00,99.17,100.00,-31097.65,-0.83,3756948.19,0.00,0.00,0.00,-0.83
QYE++ NLONG6,2026-01-16,-22627.03,0.00,99.40,100.00,-22627.03,-0.60,3756948.19,0.00,0.00,0.00,-0.60
NLONG6,2026-01-16,-22627.03,0.00,99.40,100.00,-22627.03,-0.60,3756948.19,0.00,0.00,0.00,-0.60
QYE++ NLONG7,2026-01-16,-28540.73,0.00,99.24,100.00,-28540.73,-0.76,3756948.19,0.00,0.00,0.00,-0.76
NLONG7,2026-01-16,-28540.73,0.00,99.24,100.00,-28540.73,-0.76,3756948.19,0.00,0.00,0.00,-0.76
QYE++ NLONG8,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
NLONG8,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ NLONG9,2026-01-16,-29905.66,0.00,99.20,100.00,-29905.66,-0.80,3756948.19,0.00,0.00,0.00,-0.80
NLONG9,2026-01-16,-29905.66,0.00,99.20,100.00,-29905.66,-0.80,3756948.19,0.00,0.00,0.00,-0.80
QYE++ SLONG1,2026-01-16,-22940.12,0.00,99.39,100.00,-22940.12,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG1,2026-01-16,-22940.12,0.00,99.39,100.00,-22940.12,-0.61,3756948.19,0.00,0.00,0.00,-0.61
QYE++ SLONG10,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG10,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG11,2026-01-16,-17583.16,0.00,99.53,100.00,-17583.16,-0.47,3756948.19,0.00,0.00,0.00,-0.47
SLONG11,2026-01-16,-17583.16,0.00,99.53,100.00,-17583.16,-0.47,3756948.19,0.00,0.00,0.00,-0.47
QYE++ SLONG12,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG12,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG13,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG13,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG14,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG14,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG15,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG15,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG16,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG16,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG17,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG17,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG18,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG18,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG19,2026-01-16,902.33,0.00,100.02,100.00,902.33,0.02,3756948.19,0.00,0.00,0.00,0.00
SLONG19,2026-01-16,902.33,0.00,100.02,100.00,902.33,0.02,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG2,2026-01-16,-22832.92,0.00,99.39,100.00,-22832.92,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG2,2026-01-16,-22832.92,0.00,99.39,100.00,-22832.92,-0.61,3756948.19,0.00,0.00,0.00,-0.61
QYE++ SLONG20,2026-01-16,902.33,0.00,100.02,100.00,902.33,0.02,3756948.19,0.00,0.00,0.00,0.00
SLONG20,2026-01-16,902.33,0.00,100.02,100.00,902.33,0.02,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG21,2026-01-16,-180.34,0.00,100.00,100.00,-180.34,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG21,2026-01-16,-180.34,0.00,100.00,100.00,-180.34,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG22,2026-01-16,-180.34,0.00,100.00,100.00,-180.34,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG22,2026-01-16,-180.34,0.00,100.00,100.00,-180.34,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG23,2026-01-16,1743.82,0.00,100.05,100.00,1743.82,0.05,3756948.19,0.00,0.00,0.00,0.00
SLONG23,2026-01-16,1743.82,0.00,100.05,100.00,1743.82,0.05,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG24,2026-01-16,1743.82,0.00,100.05,100.00,1743.82,0.05,3756948.19,0.00,0.00,0.00,0.00
SLONG24,2026-01-16,1743.82,0.00,100.05,100.00,1743.82,0.05,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG3,2026-01-16,-22940.12,0.00,99.39,100.00,-22940.12,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG3,2026-01-16,-22940.12,0.00,99.39,100.00,-22940.12,-0.61,3756948.19,0.00,0.00,0.00,-0.61
QYE++ SLONG4,2026-01-16,-22832.92,0.00,99.39,100.00,-22832.92,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG4,2026-01-16,-22832.92,0.00,99.39,100.00,-22832.92,-0.61,3756948.19,0.00,0.00,0.00,-0.61
QYE++ SLONG5,2026-01-16,-23555.11,0.00,99.37,100.00,-23555.11,-0.63,3756948.19,0.00,0.00,0.00,-0.63
SLONG5,2026-01-16,-23555.11,0.00,99.37,100.00,-23555.11,-0.63,3756948.19,0.00,0.00,0.00,-0.63
QYE++ SLONG6,2026-01-16,-24431.07,0.00,99.35,100.00,-24431.07,-0.65,3756948.19,0.00,0.00,0.00,-0.65
SLONG6,2026-01-16,-24431.07,0.00,99.35,100.00,-24431.07,-0.65,3756948.19,0.00,0.00,0.00,-0.65
QYE++ SLONG7,2026-01-16,-19631.96,0.00,99.48,100.00,-19631.96,-0.52,3756948.19,0.00,0.00,0.00,-0.52
SLONG7,2026-01-16,-19631.96,0.00,99.48,100.00,-19631.96,-0.52,3756948.19,0.00,0.00,0.00,-0.52
QYE++ SLONG8,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG8,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
QYE++ SLONG9,2026-01-16,-17583.16,0.00,99.53,100.00,-17583.16,-0.47,3756948.19,0.00,0.00,0.00,-0.47
SLONG9,2026-01-16,-17583.16,0.00,99.53,100.00,-17583.16,-0.47,3756948.19,0.00,0.00,0.00,-0.47
Liquidcase Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
QYE++ Liquidcase Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
QYE++ Debt Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
Debt Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
QYE++ Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
Small Cap Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Small Cap Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Equity Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
Equity Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Miscellaneous P&L,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miscellaneous P&L,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Equity Holdings Tax,2026-01-16,-1140.49,0.00,100.00,100.00,-1140.49,0.00,0.00,0.00,0.00,0.00,0.00
Equity Holdings Tax,2026-01-16,-1140.49,0.00,100.00,100.00,-1140.49,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Total Tax,2026-01-16,-12103.81,0.00,100.00,100.00,-12103.81,0.00,0.00,0.00,0.00,0.00,0.00
Total Tax,2026-01-16,-12103.81,0.00,100.00,100.00,-12103.81,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ F&O Tax,2026-01-16,-10963.32,0.00,100.00,100.00,-10963.32,0.00,0.00,0.00,0.00,0.00,0.00
F&O Tax,2026-01-16,-10963.32,0.00,100.00,100.00,-10963.32,0.00,0.00,0.00,0.00,0.00,0.00
Equity Intraday Tax,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCX Tax,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Total Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
Total Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Equity Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
Equity Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ NPSAR,2026-01-16,22314888.71,22541689.21,99.75,100.00,-226800.50,-0.25,90166756.85,0.00,0.00,0.00,-0.25
NPSAR,2026-01-16,22314888.71,22541689.21,99.75,100.00,-226800.50,-0.25,90166756.85,0.00,0.00,0.00,-0.25
QYE++ SPSAR,2026-01-16,22185308.63,22541689.21,99.60,100.00,-356380.58,-0.40,90166756.85,0.00,0.00,0.00,-0.40
SPSAR,2026-01-16,22185308.63,22541689.21,99.60,100.00,-356380.58,-0.40,90166756.85,0.00,0.00,0.00,-0.40
QYE++ NLONG,2026-01-16,-216371.71,0.00,99.76,100.00,-216371.71,-0.24,90166756.56,0.00,0.00,0.00,-0.24
NLONG,2026-01-16,-216371.71,0.00,99.76,100.00,-216371.71,-0.24,90166756.56,0.00,0.00,0.00,-0.24
QYE++ SLONG,2026-01-16,-171159.94,0.00,99.81,100.00,-171159.94,-0.19,90166756.56,0.00,0.00,0.00,-0.19
SLONG,2026-01-16,-171159.94,0.00,99.81,100.00,-171159.94,-0.19,90166756.56,0.00,0.00,0.00,-0.19
QYE++ PSAR,2026-01-16,44500197.35,45083378.43,99.68,100.00,-583181.08,-0.32,180333513.70,0.00,0.00,0.00,-0.32
PSAR,2026-01-16,44500197.35,45083378.43,99.68,100.00,-583181.08,-0.32,180333513.70,0.00,0.00,0.00,-0.32
QYE++ LONG,2026-01-16,-387531.65,0.00,99.79,100.00,-387531.65,-0.21,180333513.12,0.00,0.00,0.00,-0.21
LONG,2026-01-16,-387531.65,0.00,99.79,100.00,-387531.65,-0.21,180333513.12,0.00,0.00,0.00,-0.21
QYE++ Total Portfolio Value,2026-01-16,44101702.37,45083378.42,99.46,100.00,-981676.05,-0.54,180333513.00,0.00,0.00,0.00,-0.54
Total Portfolio Value,2026-01-16,44101702.37,45083378.42,99.46,100.00,-981676.05,-0.54,180333513.00,0.00,0.00,0.00,-0.54
Qode Total Portfolio,2026-01-16,-981676.05,0.00,99.46,100.00,-981676.05,-0.54,180333513.00,0.00,0.00,0.00,-0.54
QYE++ Zerodha Total Portfolio,2026-01-16,178842744.31,180333424.97,99.17,100.00,-1490680.66,-0.83,180333424.97,0.00,0.00,0.00,-0.83
Zerodha Total Portfolio,2026-01-16,178842744.31,180333424.97,99.17,100.00,-1490680.66,-0.83,180333424.97,0.00,0.00,0.00,-0.83
QYE++ NPSAR1,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
NPSAR1,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
QYE++ NPSAR10,2026-01-19,2877702.38,14306.75,100.41,99.73,75627.50,0.67,11208299.50,2787768.13,11270844.56,-29943.01,0.00
NPSAR10,2026-01-19,2877702.38,14306.75,100.40,99.73,75627.50,0.67,11208299.50,2787768.13,11270844.56,-29943.01,0.00
QYE++ NPSAR11,2026-01-19,2839516.45,-26869.44,100.43,100.10,37441.57,0.33,11208299.50,2828944.32,11270844.56,11233.18,0.00
NPSAR11,2026-01-19,2839516.45,-26869.44,100.43,100.10,37441.57,0.33,11208299.50,2828944.32,11270844.56,11233.18,0.00
QYE++ NPSAR12,2026-01-19,2850599.68,-67586.38,100.90,100.46,48524.80,0.43,11208299.50,2869661.25,11270844.56,51950.11,0.00
NPSAR12,2026-01-19,2850599.68,-67586.38,100.89,100.46,48524.80,0.43,11208299.50,2869661.25,11270844.56,51950.11,0.00
QYE++ NPSAR13,2026-01-19,2876659.70,-61157.21,101.07,100.40,74584.82,0.67,11208299.50,2863232.08,11270844.56,45520.94,0.00
NPSAR13,2026-01-19,2876659.70,-61157.21,101.07,100.40,74584.82,0.67,11208299.50,2863232.08,11270844.56,45520.94,0.00
QYE++ NPSAR2,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
NPSAR2,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
QYE++ NPSAR3,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
NPSAR3,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
